id,internal_code
base.partner_root,1
base.res_partner_2,2
base.res_partner_address_4,3
base.res_partner_address_3,4
base.res_partner_1,5
base.res_partner_address_2,6
base.res_partner_address_1,7
base.res_partner_13,8
base.res_partner_address_22,9
base.res_partner_7,10
base.res_partner_address_13,11
base.res_partner_address_14,12
base.res_partner_9,13
base.res_partner_address_16,14
base.res_partner_12,15
base.res_partner_address_21,16
base.res_partner_14,17
base.res_partner_address_23,18
base.res_partner_address_24,19
base.res_partner_3,20
base.res_partner_address_5,21
base.res_partner_address_6,22
base.res_partner_4,23
base.res_partner_address_9,24
base.res_partner_address_8,25
base.res_partner_address_7,26
portal.demo_user0_res_partner,27
base.partner_demo,28
base.res_partner_5,29
base.res_partner_address_10,30
base.res_partner_address_11,31
base.res_partner_26,32
base.res_partner_21,33
base.res_partner_address_34,34
base.res_partner_address_33,35
base.res_partner_address_32,36
base.res_partner_11,37
base.res_partner_address_20,38
base.res_partner_address_19,39
base.res_partner_8,40
base.res_partner_address_15,41
base.res_partner_15,42
base.res_partner_address_25,43
base.res_partner_25,44
base.res_partner_17,45
base.res_partner_address_28,46
base.res_partner_24,47
base.res_partner_6,48
base.res_partner_address_12,49
base.res_partner_19,50
base.res_partner_address_31,51
base.res_partner_16,52
base.res_partner_address_27,53
base.res_partner_address_26,54
auth_signup.default_template_user_res_partner,55
base.res_partner_10,56
base.res_partner_address_17,57
base.res_partner_address_18,58
base.res_partner_18,59
base.res_partner_address_29,60
base.res_partner_address_30,61
base.res_partner_23,62
base.res_partner_address_36,63
base.res_partner_22,64
base.res_partner_address_35,65
base.main_partner,66
base.res_partner_main1,67
base.res_partner_main2,68
base.res_partner_20,69
base.public_partner,70
